('Total Revenue', '281,724,000 ', '281,724,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ')
         1003849 function calls (974791 primitive calls) in 19.996 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    327/7    0.002    0.000    1.750    0.250 <frozen importlib._bootstrap_external>:1020(exec_module)
      327    0.033    0.000    0.033    0.000 {built-in method marshal.loads}
      327    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      327    0.002    0.000    0.002    0.000 {built-in method _imp.source_hash}
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
      325    0.001    0.000    0.007    0.000 typing.py:1639(<genexpr>)
      325    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
      325    0.001    0.000    0.003    0.000 {built-in method builtins.any}
      322    0.001    0.000    0.002    0.000 css_parser.py:248(css_unescape)
  322/246    0.001    0.000    0.003    0.000 typing.py:1773(__hash__)
      319    0.003    0.000   15.947    0.050 ssl.py:1129(read)
      319    0.002    0.000    0.003    0.000 _connection.py:364(receive_data)
      319    0.001    0.000    0.001    0.000 _receivebuffer.py:53(__iadd__)
      319    0.001    0.000    0.005    0.000 _receivebuffer.py:57(__bool__)
      319    0.006    0.000   15.970    0.050 sync.py:124(read)
      319   15.944    0.050   15.944    0.050 {method 'read' of '_ssl._SSLSocket' objects}
      319    0.003    0.000   15.951    0.050 ssl.py:1278(recv)
      314    0.001    0.000    0.001    0.000 _receivebuffer.py:67(_extract)
      299    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
  293/200    0.001    0.000    0.065    0.000 typing.py:574(__getitem__)
      288    0.001    0.000    0.001    0.000 _connection.py:217(our_state)
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(<genexpr>)
      285    0.001    0.000    0.002    0.000 css_parser.py:344(match)
      280    0.002    0.000    0.003    0.000 _connection.py:342(_respond_to_state_changes)
      280    0.001    0.000    0.001    0.000 _state.py:299(_fire_event_triggered_transitions)
