('Total Revenue', '281,724,000 ', '281,724,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ')
         902524 function calls (875473 primitive calls) in 10.480 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  191/187    0.002    0.000    0.035    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     2528    0.020    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     2588    0.020    0.000    0.034    0.000 __init__.py:91(_replace_charref)
    18543    0.034    0.000    0.034    0.000 {method 'startswith' of 'str' objects}
       79    0.003    0.000    0.033    0.000 css_parser.py:472(parse_attribute_selector)
      164    0.003    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
       16    0.010    0.001    0.031    0.002 enum.py:1753(convert_class)
     3301    0.013    0.000    0.031    0.000 _htmlparser.py:222(handle_data)
        1    0.000    0.000    0.031    0.031 css_match.py:1(<module>)
        1    0.000    0.000    0.029    0.029 ssl.py:1(<module>)
      496    0.015    0.000    0.028    0.000 css_types.py:41(__init__)
      341    0.008    0.000    0.028    0.000 css_parser.py:1108(selector_iter)
      164    0.028    0.000    0.028    0.000 {built-in method marshal.loads}
    10228    0.026    0.000    0.026    0.000 element.py:377(setup)
    14624    0.026    0.000    0.026    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.025    0.025 socket.py:960(getaddrinfo)
        1    0.024    0.024    0.024    0.024 {built-in method _socket.getaddrinfo}
     4400    0.016    0.000    0.023    0.000 _parser.py:292(tell)
  142/137    0.001    0.000    0.023    0.000 css_parser.py:395(freeze)
    78/56    0.000    0.000    0.023    0.000 typing.py:574(__getitem__)
        1    0.000    0.000    0.023    0.023 compat.py:30(_resolve_char_detection)
        2    0.000    0.000    0.023    0.011 __init__.py:71(import_module)
        2    0.000    0.000    0.023    0.011 <frozen importlib._bootstrap>:1375(_gcd_import)
      218    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap>:416(__enter__)
     3443    0.016    0.000    0.022    0.000 __init__.py:789(popTag)
     7054    0.021    0.000    0.021    0.000 {method 'search' of 're.Pattern' objects}
    10149    0.021    0.000    0.021    0.000 {method 'count' of 'str' objects}
       56    0.001    0.000    0.021    0.000 typing.py:753(Union)
     1362    0.007    0.000    0.020    0.000 filter.py:628(_match_attribute_value_helper)
      124    0.003    0.000    0.020    0.000 typing.py:1423(__init__)
      191    0.004    0.000    0.020    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        2    0.000    0.000    0.020    0.010 cookies.py:1(<module>)
      258    0.006    0.000    0.019    0.000 <frozen importlib._bootstrap>:304(acquire)
    11345    0.019    0.000    0.019    0.000 typing.py:2371(cast)
     3443    0.013    0.000    0.019    0.000 element.py:1821(is_empty_element)
     1024    0.005    0.000    0.019    0.000 _compiler.py:401(_simple)
     3428    0.013    0.000    0.019    0.000 __init__.py:1068(handle_data)
      928    0.010    0.000    0.019    0.000 _compiler.py:214(_compile_charset)
      328    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
      328    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
        1    0.000    0.000    0.017    0.017 sessions.py:1(<module>)
4124/4094    0.014    0.000    0.017    0.000 {built-in method __new__ of type object at 0x7f5c9563e2e0}
     7980    0.015    0.000    0.017    0.000 element.py:2788(descendants)
       41    0.000    0.000    0.017    0.000 response.py:494(_decode)
     9376    0.017    0.000    0.017    0.000 {built-in method builtins.ord}
       40    0.002    0.000    0.017    0.000 response.py:105(decompress)
        1    0.000    0.000    0.016    0.016 _typing.py:1(<module>)
7408/7340    0.015    0.000    0.016    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.016    0.016 header.py:1(<module>)
      294    0.005    0.000    0.016    0.000 typing.py:173(_type_check)
        1    0.000    0.000    0.016    0.016 cd.py:1(<module>)
        1    0.000    0.000    0.016    0.016 adapters.py:1(<module>)
      142    0.001    0.000    0.016    0.000 css_types.py:203(__init__)
     2585    0.009    0.000    0.016    0.000 css_parser.py:317(match)
     1131    0.007    0.000    0.015    0.000 _parser.py:311(_class_escape)
       39    0.015    0.000    0.015    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     7863    0.015    0.000    0.015    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.014    0.014 css_types.py:1(<module>)
     1958    0.010    0.000    0.013    0.000 __init__.py:909(_linkage_fixer)
        2    0.000    0.000    0.013    0.007 request.py:1(<module>)
     6969    0.013    0.000    0.013    0.000 {method 'start' of 're.Match' objects}
     2655    0.009    0.000    0.013    0.000 filter.py:293(matches_string)
        1    0.000    0.000    0.013    0.013 parse.py:1(<module>)
      126    0.002    0.000    0.013    0.000 parser.py:350(parse_comment)
     6873    0.013    0.000    0.013    0.000 {method 'endswith' of 'str' objects}
     1383    0.005    0.000    0.013    0.000 _parser.py:171(__setitem__)
      351    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.002    0.002    0.012    0.012 packages.py:1(<module>)
        2    0.000    0.000    0.012    0.006 abc.py:1(<module>)
        1    0.000    0.000    0.012    0.012 pretty.py:1(<module>)
    23/20    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1318(create_module)
    23/20    0.006    0.000    0.011    0.001 {built-in method _imp.create_dynamic}
     4260    0.009    0.000    0.011    0.000 {built-in method builtins.max}
     6253    0.011    0.000    0.011    0.000 _parser.py:112(__init__)
      187    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
       48    0.001    0.000    0.011    0.000 typing.py:1634(__getitem__)
        1    0.000    0.000    0.011    0.011 _local.py:1(<module>)
      819    0.004    0.000    0.010    0.000 typing.py:1368(__setattr__)
      126    0.001    0.000    0.010    0.000 _htmlparser.py:285(handle_comment)
        1    0.010    0.010    0.010    0.010 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      229    0.002    0.000    0.010    0.000 element.py:525(get_text)
      941    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
        6    0.000    0.000    0.009    0.001 cookies.py:124(extract_cookies_to_jar)
        1    0.000    0.000    0.009    0.009 ipaddress.py:1(<module>)
        2    0.000    0.000    0.009    0.004 models.py:1(<module>)
       22    0.000    0.000    0.009    0.000 typing.py:806(Optional)
      796    0.005    0.000    0.009    0.000 _parser.py:371(_escape)
        7    0.000    0.000    0.009    0.001 typing.py:2979(_make_nmtuple)
      199    0.002    0.000    0.009    0.000 enum.py:1607(__and__)
        6    0.000    0.000    0.009    0.001 cookiejar.py:1681(extract_cookies)
        1    0.000    0.000    0.009    0.009 __init__.py:477(StrFormatStyle)
        1    0.000    0.000    0.009    0.009 decoder.py:1(<module>)
      199    0.001    0.000    0.008    0.000 css_types.py:360(__init__)
        6    0.000    0.000    0.008    0.001 typing.py:2998(__new__)
      258    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:162(__enter__)
       59    0.000    0.000    0.008    0.000 _htmlparser.py:127(handle_startendtag)
       54    0.000    0.000    0.008    0.000 typing.py:1658(copy_with)
        1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap>:1171(exec_module)
      955    0.005    0.000    0.008    0.000 typing.py:1294(_is_dunder)
     2663    0.008    0.000    0.008    0.000 {method 'findall' of 're.Pattern' objects}
      505    0.003    0.000    0.008    0.000 element.py:1882(_all_strings)
        1    0.000    0.000    0.008    0.008 __init__.py:135(BeautifulSoup)
     3444    0.007    0.000    0.008    0.000 __init__.py:636(set_up_substitutions)
        1    0.000    0.000    0.008    0.008 <frozen ntpath>:1(<module>)
       58    0.001    0.000    0.008    0.000 parser.py:171(set_cdata_mode)
     1077    0.005    0.000    0.007    0.000 enum.py:1589(_get_value)
      128    0.001    0.000    0.007    0.000 typing.py:1307(__init__)
