('Total Revenue', '281,724,000 ', '281,724,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ')
         903499 function calls (876469 primitive calls) in 5.695 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      351    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:632(cached)
      126    0.002    0.000    0.012    0.000 parser.py:350(parse_comment)
        1    0.000    0.000    0.012    0.012 pretty.py:1(<module>)
    23/20    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1318(create_module)
        1    0.002    0.002    0.012    0.012 packages.py:1(<module>)
    23/20    0.007    0.000    0.012    0.001 {built-in method _imp.create_dynamic}
     4260    0.009    0.000    0.012    0.000 {built-in method builtins.max}
     6253    0.012    0.000    0.012    0.000 _parser.py:112(__init__)
      187    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
        1    0.011    0.011    0.011    0.011 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
       48    0.001    0.000    0.011    0.000 typing.py:1634(__getitem__)
        1    0.000    0.000    0.011    0.011 _local.py:1(<module>)
      819    0.004    0.000    0.010    0.000 typing.py:1368(__setattr__)
      941    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      229    0.002    0.000    0.010    0.000 element.py:525(get_text)
      126    0.001    0.000    0.010    0.000 _htmlparser.py:285(handle_comment)
      199    0.003    0.000    0.010    0.000 enum.py:1607(__and__)
      796    0.006    0.000    0.009    0.000 _parser.py:371(_escape)
        6    0.000    0.000    0.009    0.002 cookies.py:124(extract_cookies_to_jar)
        2    0.000    0.000    0.009    0.005 models.py:1(<module>)
      199    0.001    0.000    0.009    0.000 css_types.py:360(__init__)
       22    0.000    0.000    0.009    0.000 typing.py:806(Optional)
        6    0.000    0.000    0.009    0.001 cookiejar.py:1681(extract_cookies)
        7    0.000    0.000    0.009    0.001 typing.py:2979(_make_nmtuple)
        1    0.000    0.000    0.009    0.009 ipaddress.py:1(<module>)
        1    0.000    0.000    0.009    0.009 decoder.py:1(<module>)
      977    0.005    0.000    0.008    0.000 _parser.py:448(_uniq)
      258    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:162(__enter__)
        6    0.000    0.000    0.008    0.001 typing.py:2998(__new__)
        1    0.000    0.000    0.008    0.008 __init__.py:477(StrFormatStyle)
     2670    0.008    0.000    0.008    0.000 {method 'findall' of 're.Pattern' objects}
       54    0.000    0.000    0.008    0.000 typing.py:1658(copy_with)
      505    0.003    0.000    0.008    0.000 element.py:1882(_all_strings)
        1    0.000    0.000    0.008    0.008 shutil.py:1(<module>)
      955    0.005    0.000    0.008    0.000 typing.py:1294(_is_dunder)
     1077    0.005    0.000    0.008    0.000 enum.py:1589(_get_value)
     3840    0.008    0.000    0.008    0.000 {method 'add' of 'set' objects}
     3874    0.008    0.000    0.008    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.008    0.008 __init__.py:135(BeautifulSoup)
        1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap>:1171(exec_module)
       59    0.000    0.000    0.008    0.000 _htmlparser.py:127(handle_startendtag)
      128    0.001    0.000    0.008    0.000 typing.py:1307(__init__)
      160    0.002    0.000    0.008    0.000 enum.py:1596(__or__)
        1    0.000    0.000    0.007    0.007 <frozen ntpath>:1(<module>)
        1    0.000    0.000    0.007    0.007 string.py:1(<module>)
  142/137    0.001    0.000    0.007    0.000 css_parser.py:385(_freeze_relations)
     3451    0.006    0.000    0.007    0.000 __init__.py:636(set_up_substitutions)
      218    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:420(__exit__)
      258    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:372(release)
       58    0.001    0.000    0.007    0.000 parser.py:171(set_cdata_mode)
      951    0.007    0.000    0.007    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.007    0.007 string.py:69(__init_subclass__)
      142    0.004    0.000    0.007    0.000 css_parser.py:369(__init__)
     3771    0.007    0.000    0.007    0.000 {method 'strip' of 'str' objects}
     3901    0.007    0.000    0.007    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.007    0.007 _common.py:1(<module>)
        1    0.000    0.000    0.007    0.007 filepost.py:1(<module>)
        1    0.000    0.000    0.007    0.007 __meta__.py:1(<module>)
       86    0.002    0.000    0.007    0.000 css_parser.py:812(parse_combinator)
     2591    0.005    0.000    0.006    0.000 {built-in method builtins.getattr}
      187    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
        1    0.000    0.000    0.006    0.006 retry.py:1(<module>)
     3343    0.006    0.000    0.006    0.000 {method 'find' of 'str' objects}
      182    0.001    0.000    0.006    0.000 typing.py:789(<genexpr>)
     3451    0.006    0.000    0.006    0.000 __init__.py:290(can_be_empty_element)
       17    0.002    0.000    0.006    0.000 __init__.py:358(namedtuple)
      328    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        1    0.000    0.000    0.006    0.006 constant.py:1(<module>)
        1    0.000    0.000    0.006    0.006 dammit.py:98(EntitySubstitution)
      132    0.002    0.000    0.006    0.000 typing.py:260(_collect_type_parameters)
      328    0.006    0.000    0.006    0.000 {built-in method _io.open_code}
     3333    0.006    0.000    0.006    0.000 {method 'keys' of 'dict' objects}
     3450    0.006    0.000    0.006    0.000 _markupbase.py:36(getpos)
       23    0.001    0.000    0.006    0.000 enum.py:498(__new__)
     3399    0.006    0.000    0.006    0.000 filter.py:260(_base_match)
     3245    0.006    0.000    0.006    0.000 parser.py:181(clear_cdata_mode)
        1    0.000    0.000    0.006    0.006 core.py:1(<module>)
     3162    0.005    0.000    0.005    0.000 {built-in method builtins.chr}
     1173    0.003    0.000    0.005    0.000 {built-in method builtins.setattr}
      581    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
        1    0.000    0.000    0.005    0.005 calendar.py:1(<module>)
        5    0.001    0.000    0.005    0.001 request.py:2495(getproxies_environment)
      258    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:124(setdefault)
      258    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      295    0.004    0.000    0.005    0.000 _compiler.py:389(_mk_bitmap)
     3450    0.005    0.000    0.005    0.000 element.py:2228(__bool__)
        1    0.000    0.000    0.005    0.005 _markupbase.py:1(<module>)
       75    0.001    0.000    0.005    0.000 css_parser.py:542(parse_tag_pattern)
        2    0.000    0.000    0.005    0.002 client.py:231(_parse_header_lines)
      307    0.003    0.000    0.005    0.000 enum.py:37(_is_descriptor)
        6    0.000    0.000    0.005    0.001 cookiejar.py:1600(make_cookies)
      378    0.002    0.000    0.005    0.000 enum.py:695(__call__)
        1    0.000    0.000    0.005    0.005 scanner.py:1(<module>)
        2    0.000    0.000    0.005    0.002 parser.py:56(parsestr)
      250    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
     2658    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       79    0.001    0.000    0.005    0.000 css_types.py:267(__init__)
     1720    0.004    0.000    0.005    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.005    0.005 typing_extensions.py:1(<module>)
        2    0.000    0.000    0.005    0.002 utils.py:816(get_environ_proxies)
        1    0.000    0.000    0.005    0.005 _abc.py:1(<module>)
      187    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
        2    0.000    0.000    0.005    0.002 parser.py:41(parse)
        1    0.000    0.000    0.005    0.005 poolmanager.py:1(<module>)
        2    0.000    0.000    0.005    0.002 adapters.py:336(build_response)
        1    0.000    0.000    0.005    0.005 sessions.py:457(prepare_request)
       40    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        2    0.000    0.000    0.004    0.002 socks.py:1(<module>)
       23    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1326(exec_module)
      828    0.003    0.000    0.004    0.000 element.py:2169(get)
        1    0.000    0.000    0.004    0.004 ipaddress.py:2392(_IPv6Constants)
      776    0.003    0.000    0.004    0.000 _parser.py:82(groups)
      309    0.001    0.000    0.004    0.000 typing.py:164(_type_convert)
      411    0.003    0.000    0.004    0.000 _parser.py:264(getwhile)
      183    0.002    0.000    0.004    0.000 _parser.py:85(opengroup)
       35    0.000    0.000    0.004    0.000 ipaddress.py:2316(__init__)
        1    0.000    0.000    0.004    0.004 _internal_utils.py:1(<module>)
        1    0.000    0.000    0.004    0.004 fields.py:1(<module>)
       68    0.002    0.000    0.004    0.000 functools.py:36(update_wrapper)
        5    0.000    0.000    0.004    0.001 feedparser.py:173(feed)
        1    0.000    0.000    0.004    0.004 sessions.py:302(rebuild_proxies)
      270    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
       23    0.004    0.000    0.004    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.004    0.004 __init__.py:444(PercentStyle)
        3    0.000    0.000    0.004    0.001 utils.py:755(should_bypass_proxies)
        1    0.000    0.000    0.004    0.004 utils.py:854(resolve_proxies)
        1    0.000    0.000    0.004    0.004 message.py:1(<module>)
  743/677    0.003    0.000    0.004    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.004    0.004 hashlib.py:1(<module>)
        2    0.000    0.000    0.004    0.002 _collections.py:1(<module>)
      443    0.002    0.000    0.004    0.000 socket.py:94(<lambda>)
      442    0.002    0.000    0.004    0.000 socket.py:89(<lambda>)
